"Level","상위 Lot","Code No.","명칭 / 구성품","필요 수량","단위","할당 Lot","유효기간","할당수량","부족 수량","상태"
"1",="생산 Lot",="EMA015","포장박스_96","94","박스",="20210831","2027-08-19","94","0","할당 완료"
"1",="생산 Lot",="EMA014","용기 고정용 스펀지_2","94","개",="20191206-1","2028-12-02","94","0","할당 완료"
"1",="생산 Lot",="CR(01)","Calibrator","94","세트","","","","94","부족"
"1",="생산 Lot",="PC(01)","Positive Control","94","개","","","","94","부족"
"1",="생산 Lot",="NC(01)","Negative Control","94","개","","","","94","부족"
"1",="생산 Lot",="DA(01)","Detection Antibody","94","개","","","","94","부족"
"1",="생산 Lot",="RD(01)","Reagent Dilution Buffer","94","개","","","","94","부족"
"1",="생산 Lot",="WS(01)","Washing Solution(10×)","94","개","","","","94","부족"
"1",="생산 Lot",="TM(01)","TMB Solution","94","개","","","","94","부족"
"1",="생산 Lot",="SS(01)","Stop Solution","94","개","","","","94","부족"
"1",="생산 Lot",="EMA013","Uncoated Plate (Plate-A)","94","개",="BB4I16A31096","2027-08-31","94","0","할당 완료"
"1",="생산 Lot",="PL(01)","Antibody Coated 96-well Plate (Plate-B)","94","개","","","","94","부족"
"1",="생산 Lot","","사용자 설명서","94","장","","","","94","부족"
"2",="CR(01)",="BCM004","10,000U/㎖ hTrx1","9","개",="221201-S0068-CLQ00387 (230315-CL-01-001~209)","2028-12-07","9","0","할당 완료"
"2",="CR(01)",="PB(01)","PBSA Buffer","221","㎖","","","","221","부족"
"2",="CR(01)",="EMA020","2ml Tube_Lock","576","개",="M209552G","2028-01-28","576","0","할당 완료"
"2",="PC(01)",="BCM005","1,000U/㎖ hTrx1","6","개",="221201-S0068-CLQ00387 (230315-CR-01-001~159)","2028-12-07","6","0","할당 완료"
"2",="PC(01)",="PB(01)","PBSA Buffer","30","㎖","","","","30","부족"
"2",="PC(01)",="EMA020","2ml Tube_Lock","96","개",="M209552G","2028-01-28","96","0","할당 완료"
"2",="NC(01)",="BCM005","1,000U/㎖ hTrx1","0","개","","","","0","할당 완료"
"2",="NC(01)",="PB(01)","PBSA Buffer","30","㎖","","","","30","부족"
"2",="NC(01)",="EMA020","2ml Tube_Lock","96","개",="M209552G","2028-01-28","96","0","할당 완료"
"2",="DA(01)",="BCM003","Ab-Trx1-2(Ab2)","1","개",="CPU0436545369_SH0043","2027-03-17","1","0","할당 완료"
"2",="DA(01)",="CMA015","HRP-IgG Conjugation Kit","1","회분",="103125AK01","2026-10-31","1","0","할당 완료"
"2",="DA(01)",="CMA006","CMA006","1","㎖",="P77216","2027-07-06","1","0","할당 완료"
"2",="DA(01)",="PB(01)","PBSA Buffer","3","㎖","","","","3","부족"
"2",="DA(01)",="EMA020","2ml Tube_Lock","96","개",="M209552G","2028-01-28","96","0","할당 완료"
"2",="PL(01)",="BCM002","Ab-Trx1","10","개",="CPU0489745915","2028-09-16","10","0","할당 완료"
"2",="PL(01)",="CB(01)","Coating Buffer","990","㎖","","","","990","부족"
"2",="PL(01)",="EMA001","ELISA Plate","96","개",="182680","2029-05-31","96","0","할당 완료"
"2",="PL(01)",="WB(01)","Washing Buffer (10×)","616","㎖","","","","616","부족"
"2",="PL(01)",="CMA006","CMA006","5544","㎖",="P77216","2027-07-06","2029","0","할당 완료"
"2",="PL(01)",="CMA006","CMA006","5544","㎖",="PAL210","2027-10-20","3515","0","할당 완료"
"2",="PL(01)",="PB(01)","PBSA Buffer","1980","㎖","","","","1980","부족"
"2",="PL(01)",="CMA017","Trehalose","74.91","g",="TD5CI","2027-08-19","74.91","0","할당 완료"
"2",="PL(01)",="EMA008","실리카 젤 (Silica Gel)","96","개",="20241010-1","2027-10-13","96","0","할당 완료"
"2",="PL(01)",="EMA009","알루미늄 지퍼백","96","개",="20241010-2","2027-10-13","96","0","할당 완료"
"2",="PL(01)",="EMA012","플레이트 커버","96","개",="32420059","2026-10-04","35","0","할당 완료"
"2",="PL(01)",="EMA012","플레이트 커버","96","개",="09823002","2026-04-07","61","0","할당 완료"
"2",="RD(01)",="PB(01)","PBSA Buffer","1470","㎖","","","","1470","부족"
"2",="RD(01)",="EMA007","30㎖ Bottle","96","개",="VAF240523","2027-10-13","96","0","할당 완료"
"2",="WS(01)",="WB(01)","Washing Buffer(10×)","1950","㎖","","","","1950","부족"
"2",="WS(01)",="EMA007","30㎖ Bottle","96","개",="VAF240523","2027-10-13","96","0","할당 완료"
"2",="TM(01)",="CMA014","CMA014","1066","㎖",="02044241","2028-02-29","1066","0","할당 완료"
"2",="TM(01)",="EMA006","15㎖ Amber Bottle","96","개",="VHF10A24","2027-10-13","96","0","할당 완료"
"2",="SS(01)",="CMA012","Sulfuric Acid(H2SO4)","62","㎖",="MKCZ7673","2029-03-05","62","0","할당 완료"
"2",="SS(01)",="CMA006","CMA006","1054","㎖",="PAL210","2027-10-20","1054","0","할당 완료"
"2",="SS(01)",="EMA005","15㎖ Bottle","96","개",="VAR20B24","2027-10-13","96","0","할당 완료"
"3",="CB(01)",="CMA007","Sodium Carbonate(Na2CO3)","1.59","g",="0000468640","2029-03-05","1.59","0","할당 완료"
"3",="CB(01)",="CMA008","Sodium Bicarbonate(NaHCO3)","2.93","g",="0000500148","2029-03-05","2.93","0","할당 완료"
"3",="CB(01)",="CMA009","Sodium Azide(NaN3)","0.2","g",="BCCN8988","2029-03-05","0.2","0","할당 완료"
"3",="CB(01)",="CMA006","CMA006","1000","㎖",="PAL210","2027-10-20","1000","0","할당 완료"
"3",="PB(01)",="CMA003","CMA003","4","개",="0000366713","2027-10-13","4","0","할당 완료"
"3",="PB(01)",="CMA006","CMA006","4000","㎖",="PAL210","2027-10-20","4000","0","할당 완료"
"3",="WB(01)",="CMA004","CMA004","26","개",="0000333772","2027-10-13","18","0","할당 완료"
"3",="WB(01)",="CMA004","CMA004","26","개",="0000393719","2028-12-02","8","0","할당 완료"
"3",="WB(01)",="CMA006","CMA006","2600","㎖",="PAL210","2027-10-20","2600","0","할당 완료"
